Estaca de Bares;A Coru?a;16.9 ;14:40;15.2 ;14:40;0
As Pontes;A Coru?a;18.1 ;12:00;7.9 ;12:00;0
A Coru?a;A Coru?a;19.7 ;13:10;12.7 ;13:10;0
A Coru?a Aeropuerto;A Coru?a;20.2 ;14:30;6.7 ;14:30;0
Carballo, Depuradora;A Coru?a;19.0 ;14:10;4.6 ;14:10;0
Cabo Vilan;A Coru?a;16.3 ;13:10;13.9 ;13:10;0
Vimianzo;A Coru?a;17.7 ;13:40;11.4 ;13:40;0
Fisterra;A Coru?a;20.6 ;02:10;13.2 ;02:10;0
Mazaricos;A Coru?a;17.9 ;12:50;10.1 ;12:50;0
Sobrado;A Coru?a;17.5 ;13:40;9.1 ;13:40;0
Santiago de Compostela Aeropuerto;A Coru?a;19.7 ;15:20;9.2 ;15:20;0
Noia;A Coru?a;21.7 ;13:30;13.1 ;13:30;0
Boiro;A Coru?a;23.0 ;15:40;13.4 ;15:40;0
Padr?n;A Coru?a;23.0 ;15:20;9.9 ;15:20;0
Santiago de Compostela;A Coru?a;21.1 ;15:30;10.9 ;15:30;0
Rois, Casas do Porto;A Coru?a;20.3 ;16:00;11.5 ;16:00;0
Villarrobledo;Albacete;24.1 ;15:00;9.3 ;15:00;0
Munera;Albacete;19.4 ;16:00;4.3 ;16:00;0
Yeste, Embalse Fuensanta;Albacete;25.6 ;16:20;11.6 ;16:20;0
Nerpio;Albacete;19.8 ;15:00;4.1 ;15:00;0
Yeste;Albacete;22.0 ;15:40;8.3 ;15:40;0
Hell?n;Albacete;21.8 ;15:30;13.8 ;15:30;0
Tobarra;Albacete;22.6 ;15:50;11.3 ;15:50;0
Albacete Base A?rea;Albacete;20.2 ;16:40;8.1 ;16:40;0
Chinchilla;Albacete;19.6 ;15:20;10.3 ;15:20;0
Albacete;Albacete;21.9 ;15:10;11.1 ;15:10;0
Alcal? del J?car;Albacete;23.9 ;16:00;10.9 ;16:00;0
Almansa;Albacete;21.0 ;14:50;7.7 ;14:50;0
Orihuela;Alacant/Alicante;24.6 ;14:30;13.7 ;14:30;0
Pinoso;Alacant/Alicante;19.8 ;16:00;7.2 ;16:00;0
Rojales;Alacant/Alicante;24.8 ;13:50;15.7 ;13:50;0
Villena;Alacant/Alicante;22.2 ;15:50;9.5 ;15:50;0
Novelda;Alacant/Alicante;23.9 ;14:30;13.8 ;14:30;0
Elche/Elx;Alacant/Alicante;25.4 ;13:10;13.4 ;13:10;0
Alicante-Elche Aeropuerto;Alacant/Alicante;24.6 ;14:20;15.2 ;14:20;0
Alicante/Alacant;Alacant/Alicante;24.8 ;14:30;14.8 ;14:30;0
Benidorm;Alacant/Alicante;23.9 ;12:10;14.9 ;12:10;0
J?vea/ X?bia;Alacant/Alicante;23.9 ;11:40;14.2 ;11:40;0
Pego;Alacant/Alicante;23.0 ;15:00;15.3 ;15:00;0
Alcoy/Alcoi;Alacant/Alicante;23.6 ;15:30;11.5 ;15:30;0
V?lez Blanco - Topares;Almer?a;21.4 ;16:20;7.2 ;16:20;0
Adra;Almer?a;25.8 ;10:10;17.9 ;10:10;0
El Ejido;Almer?a;25.9 ;10:40;16.5 ;10:40;0
Roquetas de Mar;Almer?a;24.2 ;13:30;13.9 ;13:30;0
Abla;Almer?a;22.3 ;14:10;9.5 ;14:10;0
Almer?a Aeropuerto;Almer?a;25.3 ;12:20;16.3 ;12:20;0
Cabo de Gata;Almer?a;23.5 ;11:20;19.4 ;11:20;0
Garrucha, Puerto;Almer?a;23.9 ;11:50;17.0 ;11:50;0
Albox;Almer?a;24.5 ;14:00;13.2 ;14:00;0
Huercal Overa;Almer?a;24.4 ;13:00;13.5 ;13:00;0
Amurrio;Araba/?lava;14.6 ;15:10;6.6 ;15:10;1
Lalastra;Araba/?lava;12.6 ;12:50;4.6 ;12:50;0
Agurain/Salvatierra;Araba/?lava;13.1 ;12:50;4.4 ;12:50;0.2
